id,titulo,autor,genero,puntuacion
45,Harry Potter y la piedra filosofal,Lisa Miller,Clásico,3.8
46,American Gods,Erik Lewis,Romance,2.3
47,Orgullo y prejuicio,Grant Gallegos,Misterio,4.0
48,El psicoanalista,Daniel Lynch,Dystopía,3.3
49,Don Quijote de la Mancha,Debra Christensen,Ciencia Ficción,4.2
50,El señor de los anillos,Rhonda Hudson,Fantasía,3.7
51,Anna Karenina,Mason Novak,Fantasía,3.9
52,Cometas en el cielo,Hailey Serrano,Misterio,5.0
53,Harry Potter y la piedra filosofal,Tyrone Dickson,Aventura,1.2
54,Los juegos del hambre,Amy Peterson MD,Aventura,4.7
55,Anna Karenina,Thomas Taylor,Aventura,1.8
56,El amor en los tiempos del cólera,Jenny Nelson,Drama,1.0
57,El alquimista,Brandon Leblanc,Drama,2.1
58,Los juegos del hambre,Kaitlin Johnson,Dystopía,1.7
59,La sombra del viento,Jennifer Sanchez,Fantasía,1.2
60,American Gods,Linda White,Dystopía,2.2
61,Las aventuras de Sherlock Holmes,Crystal Larsen,Histórico,2.7
62,Rayuela,Jennifer Benson,Histórico,3.1
63,Las crónicas de Narnia,James Deleon,Romance,4.8
64,Pedro Páramo,Kristine Williams,Clásico,1.7
65,Don Quijote de la Mancha,Dale Black,Dystopía,1.7
66,Drácula,Michael Contreras,Terror,1.5
67,El perfume,Michael Martinez,Experimental,1.4
68,El psicoanalista,Johnny Nelson,Misterio,3.5
69,Los juegos del hambre,Shane Huerta,Terror,2.5
70,La sombra del viento,Donna Davis,Dystopía,1.4
71,Las aventuras de Sherlock Holmes,Olivia Herman,Terror,4.3
72,It,Dr. Tiffany Perez,Drama,1.0
73,1984,Michael Norris,Thriller,1.3
74,Ulises,Tracy Clark,Realismo Mágico,2.6
75,La carretera,Marissa White,Romance,4.5
76,El psicoanalista,Anthony Moore,Ciencia Ficción,1.6
77,Las crónicas de Narnia,Luke Gray,Fábula,3.1
78,Crimen y castigo,Christian Brown,Misterio,1.9
79,Matar a un ruiseñor,Lori Campos,Experimental,3.5
80,La chica del tren,Alfred Johnson,Histórico,4.0
81,El perfume,Ryan Mason,Fantasía,3.9
82,Cometas en el cielo,James Diaz,Misterio,4.7
83,Los juegos del hambre,Micheal Wilson,Clásico,2.8
84,Ensayo sobre la ceguera,Michelle Welch,Realismo Mágico,1.8
85,Ensayo sobre la ceguera,Jessica Little,Realismo Mágico,4.2
86,El perfume,Andrew Robinson,Misterio,1.4
87,American Gods,Gina Turner,Realismo Mágico,3.5
88,El psicoanalista,John Wright,Romance,2.9
89,El perfume,Shannon Thompson,Aventura,4.4
90,Cometas en el cielo,Alyssa Lopez,Misterio,4.2
91,El señor de los anillos,Brooke Watts,Biografía,1.2
92,Ulises,Misty Jenkins,Aventura,4.4
93,It,Sara Washington,Romance,4.3
94,1984,Robert Mendoza,Realismo Mágico,4.8
95,Madame Bovary,Edward Ellis,Clásico,4.0
96,La insoportable levedad del ser,Clinton Miles,Realismo Mágico,3.4
97,Drácula,Alicia Mills,Fantasía,1.1
98,Anna Karenina,Douglas Campos,Biografía,3.6
99,Las crónicas de Narnia,Erika Jones,Fábula,2.7
100,El señor de los anillos,Clinton Dominguez,Fábula,4.1
101,Matar a un ruiseñor,Andrew Bradshaw,Biografía,3.4
102,El Principito,Aimee Webster,Romance,4.8
103,Ulises,Selena Gonzalez,Dystopía,4.2
104,El señor de los anillos,Tonya Kline,Aventura,3.2
105,El Principito,Scott Curtis,Experimental,1.4
106,1984,Heather Smith,Ciencia Ficción,3.2
107,A sangre fría,Christy Knight,Biografía,2.8
108,Crimen y castigo,Nicholas Scott,Fábula,3.0
109,La insoportable levedad del ser,Ashley Byrd,Thriller,1.6
110,Ensayo sobre la ceguera,Victoria Christensen,Fábula,2.4
111,El código Da Vinci,Jillian Cook DVM,Fantasía,1.5
112,Harry Potter y la piedra filosofal,Samantha Alvarez,Realismo Mágico,2.7
113,Cien años de soledad,Jodi Rasmussen,Clásico,2.2
114,Orgullo y prejuicio,Terri Payne,Dystopía,4.8
115,El amor en los tiempos del cólera,Kevin Suarez,Ciencia Ficción,4.2
116,Frankenstein,Ryan Lopez,Aventura,3.4
117,Crimen y castigo,Brett Briggs,Aventura,4.2
118,Fahrenheit 451,Lindsey Harris,Histórico,1.9
119,El nombre del viento,Barry Buchanan,Histórico,2.1
120,Matar a un ruiseñor,Crystal Price,Drama,1.6
121,Don Quijote de la Mancha,James Williams,Biografía,3.4
122,El perfume,Jack Mccann,Clásico,3.6
123,Rayuela,Joe York,Romance,4.0
124,La sombra del viento,Jose Lee,Clásico,2.8
125,La chica del tren,Bryan Guzman,Histórico,2.8
126,El amor en los tiempos del cólera,Michael Tucker,Drama,2.7
127,Un mundo feliz,Michael Mclean,Dystopía,4.3
128,El niño con el pijama de rayas,Theresa Parker,Romance,2.3
129,Los pilares de la tierra,Robin Norman,Drama,3.6
130,A sangre fría,Kim Cunningham,Misterio,1.9
131,Los pilares de la tierra,Jill Medina DVM,Aventura,4.7
132,La carretera,Ernest Martinez,Histórico,4.6
133,Fahrenheit 451,Michelle Barnett,Terror,3.7
134,Las aventuras de Sherlock Holmes,Christopher Austin,Experimental,1.6
135,Orgullo y prejuicio,Christopher Smith,Clásico,1.3
136,El nombre del viento,Jessica Blair,Clásico,4.3
137,Frankenstein,Mark Vincent,Romance,1.4
138,La insoportable levedad del ser,Sydney Garcia,Dystopía,3.4
139,Don Quijote de la Mancha,Joshua Smith DDS,Experimental,2.0
140,A sangre fría,Kevin Bradley,Biografía,4.1
141,La ladrona de libros,Connie Davis,Fábula,2.3
142,Don Quijote de la Mancha,Julie Johnson,Histórico,1.2
143,Orgullo y prejuicio,Mr. James Orr,Ciencia Ficción,1.1
144,La chica del tren,Alexander Nguyen,Histórico,2.8
145,Orgullo y prejuicio,John Cox,Romance,2.0
146,La insoportable levedad del ser,Cindy Ward,Experimental,1.7
147,Cometas en el cielo,Kim Flores,Fábula,1.6
148,Drácula,Cameron Mcdowell,Misterio,4.8
149,El nombre del viento,Ashley Gibbs,Romance,1.3
150,Anna Karenina,David Gonzalez,Fantasía,1.5
151,El niño con el pijama de rayas,Charles Solis,Clásico,3.7
152,Harry Potter y la piedra filosofal,Christina Martinez,Misterio,1.4
153,Don Quijote de la Mancha,Carlos Mejia,Biografía,2.5
154,El perfume,Angela Brown,Terror,3.7
155,Los juegos del hambre,Erin Herman,Drama,4.8
156,El nombre del viento,Sarah Wells,Realismo Mágico,5.0
157,El alquimista,Michelle Lewis,Dystopía,1.9
158,Pedro Páramo,Mary Duffy,Fantasía,1.6
159,Madame Bovary,Cindy Hudson,Clásico,3.1
160,El nombre del viento,Sharon Stark,Ciencia Ficción,4.0
161,El amor en los tiempos del cólera,Andrew Bond,Thriller,2.4
162,American Gods,Kimberly Montgomery,Ciencia Ficción,1.7
163,Los pilares de la tierra,Pamela Miller,Terror,3.8
164,El amor en los tiempos del cólera,Joshua Duran,Realismo Mágico,3.8
165,Frankenstein,Stephen Perry,Experimental,2.0
166,1984,Jacqueline White,Ciencia Ficción,4.6
167,El niño con el pijama de rayas,David Gonzales,Drama,2.6
168,El niño con el pijama de rayas,Robert Morgan,Biografía,4.6
169,El nombre del viento,Cynthia Anderson,Thriller,3.0
170,La chica del tren,Kathy Smith,Terror,4.7
171,Un mundo feliz,Todd Conway,Aventura,3.8
172,Matar a un ruiseñor,Robert Boyd,Ciencia Ficción,4.1
173,Un mundo feliz,Lori Frye,Experimental,1.9
174,Un mundo feliz,Carla Rivera,Ciencia Ficción,3.9
175,El amor en los tiempos del cólera,Victoria Wells,Realismo Mágico,2.6
176,Don Quijote de la Mancha,Michele Wallace,Experimental,2.1
177,El señor de los anillos,Brian Baker,Fantasía,1.8
178,La insoportable levedad del ser,Karen Baird,Realismo Mágico,1.3
179,Fahrenheit 451,John Cook,Histórico,4.8
180,El Principito,Melanie Lewis,Terror,2.7
181,Las aventuras de Sherlock Holmes,Andrew Bond,Misterio,3.4
182,Un mundo feliz,Robert Deleon,Fábula,3.4
183,Crimen y castigo,Pamela Macdonald,Drama,3.5
184,Rayuela,Jessica Wallace,Misterio,4.1
185,El señor de los anillos,Kathryn Rojas,Terror,2.5
186,Matar a un ruiseñor,Brian Hunt PhD,Clásico,4.9
187,El psicoanalista,Jason Velasquez,Romance,3.8
188,Orgullo y prejuicio,Taylor Thomas,Aventura,4.8
189,1984,Deborah Long,Experimental,3.4
190,El Principito,Karen Rodriguez,Histórico,1.7
191,La insoportable levedad del ser,George Ponce,Misterio,1.6
192,Anna Karenina,Dan Hess,Drama,2.2
193,Juego de tronos,Michael Cowan,Romance,4.7
194,Madame Bovary,Brenda Roberts,Thriller,2.0
195,La carretera,Linda Crawford,Fábula,1.9
196,Ensayo sobre la ceguera,Charles Rangel,Fábula,4.9
197,La chica del tren,Carrie Wong,Clásico,2.5
198,El nombre del viento,Jimmy Silva,Thriller,2.1
199,Rayuela,Darryl Camacho,Terror,1.4
200,Anna Karenina,Marie Lee,Fantasía,1.4
201,La ladrona de libros,Michael Griffin,Clásico,2.7
202,It,David Horton,Fábula,1.0
203,Orgullo y prejuicio,Billy Vaughan,Thriller,1.1
204,El niño con el pijama de rayas,Travis Hansen,Aventura,3.7
205,El alquimista,Kevin Gonzales,Ciencia Ficción,2.1
206,El nombre del viento,John Martinez,Terror,4.4
207,Matar a un ruiseñor,Dustin Graham,Fantasía,2.2
208,Ensayo sobre la ceguera,Bobby Woods,Drama,4.4
209,El psicoanalista,Jonathan Johnson,Biografía,3.3
210,La chica del tren,Heather Fields,Aventura,1.5
211,American Gods,Dr. Bridget Beck MD,Realismo Mágico,1.4
212,La ladrona de libros,Jose Johnson,Realismo Mágico,3.1
213,Drácula,Paul Coleman,Fábula,2.6
214,Drácula,Aaron Bentley,Clásico,1.1
215,Rayuela,Jessica Jones,Histórico,4.0
216,El señor de los anillos,Emma Watson,Dystopía,1.9
217,Crimen y castigo,Tiffany Christensen,Terror,2.6
218,El psicoanalista,Cathy Koch,Romance,3.2
219,Rayuela,John Brennan,Romance,3.3
220,La ladrona de libros,Christy Williams,Clásico,3.7
221,Los pilares de la tierra,Jonathan Phillips,Drama,4.2
222,Crimen y castigo,Ashley Butler,Drama,1.8
223,Cometas en el cielo,Kristin Petersen,Thriller,3.6
224,Las aventuras de Sherlock Holmes,Tiffany Lowery,Misterio,1.8
225,American Gods,Kevin Holder,Drama,1.3
226,A sangre fría,Deanna Townsend,Fábula,4.0
227,El psicoanalista,Kayla Li,Realismo Mágico,3.3
228,Ulises,Heather Camacho,Aventura,3.2
229,Pedro Páramo,Kaitlin Love,Histórico,4.0
230,Ensayo sobre la ceguera,Jenna Thompson,Realismo Mágico,4.4
231,La carretera,Brianna Norton,Realismo Mágico,2.1
232,American Gods,Kristen Crawford,Dystopía,2.0
233,1984,Joseph Maldonado,Biografía,4.1
234,El alquimista,Cheryl Griffin,Ciencia Ficción,4.3
235,Madame Bovary,Jerry Cunningham,Romance,2.1
236,Las aventuras de Sherlock Holmes,Joshua Henderson,Thriller,3.0
237,Rayuela,Matthew Mason,Thriller,4.0
238,Madame Bovary,Tanya Shepherd,Fantasía,2.3
239,El código Da Vinci,Brian Miller,Drama,4.5
240,La sombra del viento,Alicia Harper,Aventura,1.6
241,Juego de tronos,Dr. Tonya Perez,Romance,1.2
242,American Gods,Lori Rodgers,Realismo Mágico,3.5
243,1984,Jesse Romero,Experimental,2.9
244,Don Quijote de la Mancha,Miguel Williams,Biografía,4.7
245,La chica del tren,Michael Gray,Clásico,3.4
246,A sangre fría,David Rodriguez,Histórico,2.8
247,Matar a un ruiseñor,Rachel Vasquez,Histórico,1.4
248,La sombra del viento,Alexander Gillespie,Ciencia Ficción,4.3
249,La ladrona de libros,Kelly Wilson,Dystopía,1.7
250,American Gods,Tammy Nelson,Biografía,2.0
251,Ensayo sobre la ceguera,Francisco Myers,Fantasía,2.4
252,El señor de los anillos,Robin Pham MD,Dystopía,3.1
253,El amor en los tiempos del cólera,George Pearson,Dystopía,2.9
254,Los pilares de la tierra,Jessica Murphy,Biografía,2.7
255,El código Da Vinci,Walter Hall,Misterio,4.7
256,Don Quijote de la Mancha,Robin Mclaughlin,Dystopía,4.8
257,La sombra del viento,Nicole Diaz,Misterio,3.7
258,Frankenstein,Kelly Harris,Drama,1.2
259,El código Da Vinci,Linda Olsen,Experimental,3.7
260,Anna Karenina,Frank Gutierrez,Clásico,2.2
261,El psicoanalista,Angel Smith,Aventura,1.7
262,El nombre del viento,Katie Wells,Histórico,4.8
263,El nombre del viento,Noah Carpenter,Drama,1.7
264,El código Da Vinci,Laura Lopez,Ciencia Ficción,3.0
265,American Gods,Joseph Burgess,Fantasía,4.7
266,La carretera,Erik Romero,Experimental,1.3
267,El alquimista,Jordan Drake,Fábula,2.5
268,Cien años de soledad,Madeline Hernandez,Experimental,4.3
269,Don Quijote de la Mancha,Joseph Smith,Terror,3.8
270,Matar a un ruiseñor,Timothy Lee,Histórico,1.6
271,La sombra del viento,Andrew Snyder,Realismo Mágico,4.9
272,Las crónicas de Narnia,Rebecca Vega,Histórico,5.0
273,Frankenstein,Vanessa Valdez,Ciencia Ficción,1.2
274,Pedro Páramo,Amy Miller,Fábula,1.8
275,Orgullo y prejuicio,James Lowery,Experimental,1.3
276,El señor de los anillos,Judith Thompson,Misterio,2.6
277,El alquimista,Carrie Todd,Histórico,2.9
278,Matar a un ruiseñor,Melissa Wolf,Romance,4.1
279,Orgullo y prejuicio,Melissa Phillips,Biografía,1.4
280,El alquimista,Edward Griffin,Ciencia Ficción,3.9
281,Los pilares de la tierra,Katie Knox,Biografía,2.1
282,Drácula,Michael Vargas,Ciencia Ficción,1.5
283,Don Quijote de la Mancha,Joseph Martin,Drama,3.8
284,Frankenstein,Debbie Cruz,Misterio,2.6
285,El niño con el pijama de rayas,Jonathan Estrada,Romance,2.5
286,Las aventuras de Sherlock Holmes,Tyler Wright,Experimental,2.0
287,El nombre del viento,Charles Buchanan,Romance,1.2
288,Los pilares de la tierra,Jennifer Braun,Aventura,4.9
289,El niño con el pijama de rayas,Theresa Villarreal,Romance,1.5
290,Harry Potter y la piedra filosofal,Stephanie Newton,Misterio,2.9
291,El perfume,Tonya Barr,Romance,4.0
292,Matar a un ruiseñor,Kristine Garcia,Ciencia Ficción,2.8
293,El psicoanalista,Andrew Johnson,Dystopía,2.1
294,El nombre del viento,Sarah Ray,Drama,4.0
295,La chica del tren,Joshua Gutierrez,Realismo Mágico,4.7
296,El amor en los tiempos del cólera,Eric Jordan,Experimental,1.9
297,El señor de los anillos,Ronald Valenzuela,Drama,1.7
298,Pedro Páramo,Lacey Cooper,Experimental,2.4
299,La insoportable levedad del ser,Lawrence Ramirez,Romance,3.6
300,Las crónicas de Narnia,Renee Miller,Fábula,1.1
301,American Gods,Tara Benton,Dystopía,1.8
302,1984,Sharon Parker,Fábula,4.0
303,El nombre del viento,Alexander Holland,Thriller,4.8
304,American Gods,Mary Houston,Fantasía,4.9
305,La insoportable levedad del ser,Jennifer Shaw,Fantasía,4.8
306,Las crónicas de Narnia,Russell Thompson,Ciencia Ficción,3.0
307,La chica del tren,Kayla Mendez,Fábula,4.9
308,Las aventuras de Sherlock Holmes,Jason Nguyen,Fantasía,2.3
309,Juego de tronos,Ronald Rogers,Misterio,1.9
310,El amor en los tiempos del cólera,Kevin James MD,Thriller,3.9
311,Los pilares de la tierra,Robert Ramirez,Ciencia Ficción,3.8
312,Madame Bovary,Sabrina Martin,Clásico,3.7
313,Matar a un ruiseñor,Jeanne Duke,Biografía,4.0
314,Madame Bovary,Joel Salazar,Misterio,2.7
315,American Gods,Victor Espinoza,Terror,3.1
316,El niño con el pijama de rayas,Mary James DVM,Clásico,3.3
317,Drácula,Miranda Cox,Fábula,1.9
318,El nombre del viento,Tammy Martin,Aventura,3.1
319,El niño con el pijama de rayas,Christina Blankenship,Terror,3.8
320,A sangre fría,Samuel Taylor,Aventura,2.4
321,La sombra del viento,Taylor Franklin,Misterio,1.9
322,Orgullo y prejuicio,Donald Sandoval,Drama,4.2
323,Matar a un ruiseñor,Tamara Crane,Realismo Mágico,3.8
324,La carretera,Brian Collins,Romance,1.6
325,Drácula,Carmen Douglas,Dystopía,3.0
326,A sangre fría,Daniel Parker,Ciencia Ficción,3.9
327,Madame Bovary,Kimberly Norris MD,Ciencia Ficción,3.9
328,La sombra del viento,Raymond Chapman,Aventura,1.5
329,La sombra del viento,Jeffrey Martinez,Romance,4.0
330,El psicoanalista,Michael Nelson,Misterio,1.3
331,El alquimista,Brandon Davis,Terror,2.1
332,La chica del tren,Jennifer Burgess,Experimental,4.3
333,El señor de los anillos,Mr. Cody Evans PhD,Terror,4.4
334,La carretera,Ryan Larson,Romance,4.7
335,Orgullo y prejuicio,Melanie Baldwin,Realismo Mágico,1.2
336,Frankenstein,Albert Bartlett,Terror,3.5
337,El perfume,Bruce Manning,Biografía,4.2
338,El código Da Vinci,Patrick Graham,Dystopía,1.3
339,Rayuela,John Perez,Realismo Mágico,1.0
340,Cien años de soledad,Juan Stevens,Romance,2.2
341,Pedro Páramo,Shannon Cobb,Misterio,1.4
342,Un mundo feliz,Patrick Oconnell,Romance,3.1
343,Harry Potter y la piedra filosofal,Ronald Caldwell,Fábula,2.2
344,El niño con el pijama de rayas,Erika Gutierrez,Thriller,3.3
345,El perfume,Melinda James,Thriller,4.6
346,Fahrenheit 451,Brianna Lopez,Fantasía,4.0
347,Cometas en el cielo,Debra Wade,Experimental,2.1
348,El psicoanalista,Judy Waters,Dystopía,2.8
349,La sombra del viento,Isaac Hoover,Realismo Mágico,2.8
350,Madame Bovary,Kelly Levine,Romance,3.0
351,Cometas en el cielo,Amber Huerta,Aventura,2.1
352,Matar a un ruiseñor,Erica Sheppard,Thriller,3.2
353,Las crónicas de Narnia,Natalie Carter,Drama,3.2
354,La ladrona de libros,Brianna Reese,Aventura,1.8
355,Las crónicas de Narnia,Michael Gonzalez,Ciencia Ficción,2.7
356,American Gods,Drew Meyer,Histórico,4.8
357,Fahrenheit 451,Ashley Wang,Experimental,1.1
358,La sombra del viento,Kimberly Cook,Thriller,2.5
359,Ensayo sobre la ceguera,Phillip Carter Jr.,Experimental,4.2
360,American Gods,Brenda Gonzales,Terror,1.8
361,Madame Bovary,Patrick Baker,Clásico,2.5
362,La insoportable levedad del ser,Kyle Robinson,Drama,1.2
363,Frankenstein,Jacob Kennedy,Realismo Mágico,2.9
364,1984,Eric Boyer,Thriller,2.3
365,Las crónicas de Narnia,Corey Olson,Histórico,1.3
366,Juego de tronos,Kevin Miles,Romance,3.5
367,American Gods,Jennifer Mata,Clásico,4.2
368,Las aventuras de Sherlock Holmes,Karen Marsh,Histórico,1.7
369,A sangre fría,Darlene Ramirez,Dystopía,1.9
370,Orgullo y prejuicio,Alexis Johnson,Romance,2.9
371,Pedro Páramo,Timothy Williams,Ciencia Ficción,3.3
372,Rayuela,Jean Mcbride,Experimental,3.4
373,It,Mary Brown,Realismo Mágico,3.8
374,Orgullo y prejuicio,David Morales,Clásico,1.5
375,El código Da Vinci,Ryan Sparks,Fantasía,2.5
376,Juego de tronos,Daniel Reed,Thriller,2.4
377,La chica del tren,Heather Russo,Experimental,4.2
378,Las crónicas de Narnia,Whitney Tucker,Terror,4.3
379,La chica del tren,Calvin Perez,Histórico,4.9
380,Juego de tronos,Christy Montoya,Fantasía,2.7
381,Madame Bovary,Kevin Shepherd,Realismo Mágico,4.2
382,Ensayo sobre la ceguera,Robert Knight,Romance,2.6
383,Los pilares de la tierra,Mark Harris,Experimental,4.2
384,El niño con el pijama de rayas,Valerie Kent,Clásico,2.7
385,La insoportable levedad del ser,David Young,Thriller,4.4
386,El amor en los tiempos del cólera,Barry Reed,Thriller,2.1
387,Las crónicas de Narnia,Joan Smith,Realismo Mágico,2.5
388,Un mundo feliz,Teresa Neal,Experimental,3.2
389,Frankenstein,Henry Kennedy,Dystopía,3.2
390,El perfume,Daniel Reyes,Drama,4.4
391,El amor en los tiempos del cólera,Natalie Hernandez,Romance,4.6
392,Ensayo sobre la ceguera,Michael Tucker,Biografía,2.3
393,El psicoanalista,Elaine Huber,Biografía,4.0
394,Rayuela,Lisa Rios,Fábula,2.6
395,Las aventuras de Sherlock Holmes,Ryan Calderon,Biografía,3.4
396,La ladrona de libros,James Beasley DDS,Misterio,3.4
397,Anna Karenina,Karen Grant,Ciencia Ficción,3.0
398,El amor en los tiempos del cólera,Nicole Clark DDS,Thriller,3.8
399,El nombre del viento,Ms. Tamara Proctor,Ciencia Ficción,2.2
400,El alquimista,Tamara Wallace,Drama,2.2
401,Don Quijote de la Mancha,Brad Ford,Fábula,2.2
402,Drácula,Natalie Perez,Biografía,3.9
403,Madame Bovary,Michael Sellers,Aventura,3.1
404,La chica del tren,Matthew Lee,Fábula,3.6
405,1984,Nichole Morris,Thriller,4.0
406,Un mundo feliz,Kelly Joseph,Realismo Mágico,4.7
407,Ulises,Jacob Cunningham,Histórico,1.8
408,La carretera,Marc Simmons,Terror,2.5
409,El alquimista,Shawn Nelson,Ciencia Ficción,3.0
410,Matar a un ruiseñor,Thomas Leblanc,Fantasía,2.1
411,El alquimista,Joshua Rangel,Fantasía,2.2
412,La chica del tren,Scott Jones,Ciencia Ficción,4.9
413,La sombra del viento,Paul Scott,Fantasía,2.6
414,Don Quijote de la Mancha,Edward Miller Jr.,Clásico,2.9
415,El perfume,Ian Mays,Biografía,1.9
416,Anna Karenina,Katherine Garcia,Terror,3.2
417,Las crónicas de Narnia,Brittany Young,Romance,3.1
418,1984,Amanda Richmond,Romance,2.6
419,Las aventuras de Sherlock Holmes,Betty Colon,Thriller,2.4
420,El perfume,Cheryl Davis,Fantasía,2.7
421,A sangre fría,Joshua Green,Histórico,2.5
422,Frankenstein,Amanda Savage,Terror,3.4
423,Orgullo y prejuicio,Steven Morales,Terror,3.3
424,Los juegos del hambre,Timothy Ballard,Experimental,3.8
425,1984,Dr. Pamela Zimmerman DDS,Clásico,1.9
426,El niño con el pijama de rayas,Dylan Day,Misterio,1.3
427,Don Quijote de la Mancha,Beth Chavez,Fantasía,2.8
428,Las crónicas de Narnia,Jeremy White,Aventura,4.7
429,American Gods,Matthew Bradford,Histórico,3.3
430,1984,Brittney Bryant,Romance,3.7
431,Don Quijote de la Mancha,Matthew Harris,Aventura,2.5
432,Los pilares de la tierra,Elizabeth Gomez,Experimental,2.8
433,Juego de tronos,Laurie Myers,Aventura,4.2
434,Las crónicas de Narnia,Matthew Shepherd,Drama,4.7
435,La chica del tren,Lisa Williams MD,Realismo Mágico,1.4
436,Fahrenheit 451,Derrick Freeman,Biografía,1.3
437,La sombra del viento,Brandon Mitchell,Biografía,3.8
438,Los pilares de la tierra,Sarah Gutierrez,Terror,3.4
439,Los juegos del hambre,Michael Caldwell,Fábula,3.6
440,La ladrona de libros,Tonya Nelson,Biografía,3.2
441,El código Da Vinci,Jacob Gross,Romance,3.9
442,El nombre del viento,Hannah Williams,Drama,4.0
443,Los pilares de la tierra,Charles Conley,Biografía,3.1
444,Matar a un ruiseñor,Ann Davidson,Fábula,4.3
445,Los pilares de la tierra,Ricky Deleon,Biografía,4.0
446,Las aventuras de Sherlock Holmes,Teresa Vasquez,Fábula,2.7
447,American Gods,Kelly Johnson,Thriller,2.6
448,Juego de tronos,Cynthia Dillon,Romance,4.7
449,La carretera,Michelle Moody,Fantasía,2.2
450,Don Quijote de la Mancha,Joel Mclaughlin,Aventura,2.7
451,Pedro Páramo,Teresa Rodriguez,Experimental,1.9
452,La sombra del viento,Christine Johnson,Thriller,4.2
453,Los pilares de la tierra,Alicia Phillips,Dystopía,2.3
454,El código Da Vinci,Andrew Wright,Biografía,4.1
455,La insoportable levedad del ser,John Gregory,Aventura,1.9
456,El código Da Vinci,Sandra Sanders,Thriller,3.6
457,It,Zachary Robinson,Terror,4.7
458,Fahrenheit 451,Anne Pope,Histórico,2.4
459,El niño con el pijama de rayas,Lindsey Jones,Misterio,2.2
460,Matar a un ruiseñor,Kristy Reid,Misterio,5.0
461,Juego de tronos,Abigail Peterson,Ciencia Ficción,3.8
462,It,Richard Ramirez,Realismo Mágico,1.7
463,Las crónicas de Narnia,Alyssa Chung,Aventura,2.3
464,Cometas en el cielo,Chelsey Stanley,Fantasía,4.1
465,Las aventuras de Sherlock Holmes,Paul Wood MD,Thriller,1.0
466,Las crónicas de Narnia,Edward Hart,Experimental,3.7
467,Las crónicas de Narnia,Terry Giles,Histórico,5.0
468,La carretera,Eric Singh,Experimental,3.5
469,El señor de los anillos,Daniel Conrad,Drama,2.2
470,El niño con el pijama de rayas,Robin Johnson,Aventura,1.8
471,Los pilares de la tierra,Michael Smith,Fantasía,1.7
472,1984,Jillian Phelps,Terror,1.4
473,El psicoanalista,Jacqueline Jordan,Histórico,3.8
474,Madame Bovary,James Gibson,Misterio,3.7
475,Harry Potter y la piedra filosofal,Jacqueline Juarez,Misterio,2.2
476,1984,Kristi Collier,Fantasía,4.4
477,Anna Karenina,Jeremy Hopkins,Experimental,2.0
478,Frankenstein,Jeremy Morton,Dystopía,4.3
479,Anna Karenina,Leslie Brown II,Experimental,2.4
480,El Principito,Susan Ellis,Thriller,1.3
481,Frankenstein,Keith Mcdaniel,Biografía,2.3
